央视,#genre#
赛事最经典,http://gslbmgsplive.miguvideo.com/migu/kailu/saishijingdian/51/20250514/index.m3u8?msisdn=202510062000348fdd5e7ccabc498e8848a16ae91d38fa&mdspid=&spid=699004&netType=0&sid=5500592947&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=646596895&ParentNodeID=-99&assertID=5500592947&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=5101034296&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=898b70d9f8e691db7c9ae7950413e665&ddCalcu=5869e680eb6370104d095f987ee6a991cd7b
掼蛋精英赛,http://gslbmgsplive.miguvideo.com/wd_r4/virtuallive/5101059662/150/index.m3u8?msisdn=2025100620003466714c92cf274116a44d7a4e709c515a&mdspid=&spid=800033&netType=0&sid=5500341085&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631354620&ParentNodeID=-99&assertID=5500341085&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=5101059662&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=2059ac489b8c3588c0529e25b30c5406&ddCalcu=6200e450591ca00c34b8592be89c235508c8
体坛名栏汇,http://gslbmgsplive.miguvideo.com/migu/kailu/titanminglan/51/20250514/index.m3u8?msisdn=202510062000343f78609cb0fb4f3d88a2766dd3919846&mdspid=&spid=699004&netType=0&sid=5500315687&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=629943305&ParentNodeID=-99&assertID=5500315687&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=5101034219&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=afd79f36973a60b6bf854e2163f9ce0d&ddCalcu=da0feed0c79990ff33661927e34a5680fbb6
四海钓鱼,http://gslbmgsplive.miguvideo.com/wd_r4/peoplecn/shdiaoyu/1200/index.m3u8?msisdn=20251006200034fc0b2a21aa994c31a5445b9f4fa3266e&mdspid=&spid=600697&netType=0&sid=5910022184&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=637444975&ParentNodeID=-99&assertID=5910022184&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=5100132656&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0c5e174801cc05ff956aa708f620d046&ddCalcu=604ce050de70102764f880017caca0655f9f
咪咕24小时体育台,http://gslbmgsplive.miguvideo.com/wd_r2/virtuallive/tysy201903/75/index.m3u8?msisdn=202510062000348f3653c29dc944029742adf7aea33756&mdspid=&spid=800033&netType=0&sid=5500751211&pid=2028597139&timestamp=20251006200034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=654102378&ParentNodeID=-99&assertID=5500751211&client_ip=106.13.250.90&SecurityKey=20251006200034&promotionId=&mvid=5102223687&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ae152a5c779db4b62130631d1d10dafd&ddCalcu=dafeea10d540201ad51cd717396d0b341b26
陕西体育休闲频道,http://gslbmgsplive.miguvideo.com/migu/kailu/sxtyxx/51/20250804/index.m3u8?msisdn=202510062000356a7450c477a44939adbc8df42dadf71a&mdspid=&spid=600572&netType=0&sid=5910022189&pid=2028597139&timestamp=20251006200035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=956909356&ParentNodeID=-99&assertID=5910022189&client_ip=106.13.250.90&SecurityKey=20251006200035&promotionId=&mvid=5900006712&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ccbdfa97e7f24727d5df1eb4d1cbad11&ddCalcu=1c1cedb0ad6bf0ca19d74eb7ef12f4d752d7
24小时城市联赛轮播台,http://gslbmgsplive.miguvideo.com/migu/lunbo/ouzhoubei/51/20240603/index.m3u8?msisdn=2025100620003594dc80b1af214c00b4ee4124d1af43ad&mdspid=&spid=800033&netType=0&sid=5910022136&pid=2028597139&timestamp=20251006200035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=915512915&ParentNodeID=-99&assertID=5910022136&client_ip=106.13.250.90&SecurityKey=20251006200035&promotionId=&mvid=5900006618&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=69e55af0125396c8a61596d0867614a0&ddCalcu=06a9e4e01556507a6f8001d2659359166ca8
武术世界,http://gslbmgsplive.miguvideo.com/migu/kailu/wssj/51/20250915/index.m3u8?msisdn=2025100620003532887d555dea4d15896c384b5c3621b2&mdspid=&spid=600697&netType=0&sid=5910022201&pid=2028597139&timestamp=20251006200035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=958475359&ParentNodeID=-99&assertID=5910022201&client_ip=106.13.250.90&SecurityKey=20251006200035&promotionId=&mvid=5900006724&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=47a8aef881023c03f15c7eb65dd5668f&ddCalcu=f487e6a06885a0dedf5868b1e072c35c10f3

卫视,#genre#
